claim_id,paper_section,experiment,baseline_identity,changed_identity,condition,seed,metric,raw_value,display_value,unit,source_artifact,source_hash,qualification_status
SECDED_PIPE_TIMING_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,13,slack_derived_frequency_mhz,350.5229802865876,350.5,MHz,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_TIMING_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,17,slack_derived_frequency_mhz,347.7027280756045,347.7,MHz,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_TIMING_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,19,slack_derived_frequency_mhz,348.27187495646604,348.3,MHz,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_TIMING_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,23,slack_derived_frequency_mhz,347.5420091403549,347.5,MHz,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_TIMING_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,aggregate_mean,slack_derived_frequency_mhz,349.9777367952565,350.0,MHz,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_ENERGY_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,11,achievable_no_error_energy_pj_per_operation,110.75615059770901,110.76,pJ/op,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_ENERGY_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,13,achievable_no_error_energy_pj_per_operation,111.28824044857373,111.29,pJ/op,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_ENERGY_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,17,achievable_no_error_energy_pj_per_operation,112.03057876698293,112.03,pJ/op,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_ENERGY_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,19,achievable_no_error_energy_pj_per_operation,111.85219403079297,111.85,pJ/op,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_ENERGY_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,23,achievable_no_error_energy_pj_per_operation,112.21881788131216,112.22,pJ/op,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_ENERGY_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,aggregate_mean,achievable_no_error_energy_pj_per_operation,111.62919634507416,111.63,pJ/op,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
HSIAO_ALGORITHMIC_AREA_ABS,Results,10 ns absolute scale,hsiao_algorithmic,hsiao_algorithmic,10 ns,11,standard_cell_instance_area_um2,19257.2,19257,um2,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
HSIAO_ALGORITHMIC_AREA_ABS,Results,10 ns absolute scale,hsiao_algorithmic,hsiao_algorithmic,10 ns,13,standard_cell_instance_area_um2,19179.6,19180,um2,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
